gene	head	arms	legs	pelvis	fn	ls	frak	oto	heel	height	prop	fn2stu	ls2stu	fa2stu	thalamus	caudate	putamen	pallidum	hippocampus	amygdala	accumbens	chr	gene_start	gene_end
SPDYC	-0.28928	1.7423	1.9031	-0.13606	0.25297	-1.7907	-0.40654	2.7672	4.0461	6.1094	3.1914	-0.062788	-0.099862	-0.16671	0.54876	-1.3859	0.016231	-0.86996	-0.99859	1.2721	1.5141	11	64937707	64940688
CAPN1	-0.30893	1.6479	1.4814	-0.009197	0.34213	-0.86476	-0.58883	2.5538	3.377	8.3036	3.9502	-0.44654	-1.2546	-0.12117	0.75727	-2.1981	-0.34889	0.98182	-0.33662	1.0277	1.3607	11	64948686	64979477
SLC22A20	-0.12666	1.4501	1.7701	0.93635	0.93039	-0.11395	-0.49402	2.3382	3.7677	6.1094	3.6066	-0.67942	-2.2071	-0.23453	0.70387	-1.0788	-0.40321	1.5206	0.21137	1.5711	1.7682	11	64981311	65010579
POLA2	-0.33071	1.2426	2.6784	1.4859	1.5813	0.23104	0.32389	1.7172	4.6515	7.8235	1.9742	-0.90462	-1.6245	-0.68622	0.6299	-0.2187	0.31893	1.2422	0.63412	1.9944	2.4414	11	65029432	65065088
CDC42EP2	-0.75472	1.0804	2.5174	1.4436	1.2858	-0.27123	0.62568	1.4356	5.5301	7.8652	1.8003	-1.7683	-1.5021	-0.14514	1.1968	-0.87077	0.4158	1.2012	0.84043	1.5662	2.6243	11	65082289	65089900
DPF2	-0.96433	1.1409	2.1594	1.7635	1.1758	-0.72815	-0.32886	2.6508	5.4376	7.7747	1.8381	-0.6357	-0.80691	-0.17864	1.466	-0.33088	-0.14527	0.77471	0.38649	1.0254	2.2734	11	65101225	65120451
TIGD3	-0.73797	1.1962	2.0242	1.8541	1.1172	-0.98168	-0.30649	2.7877	4.6519	7.9601	1.7256	-0.52643	-0.8034	-0.44845	1.1893	-0.23791	-0.53583	0.27074	-0.072405	1.0027	2.0211	11	65122282	65125084
FRMD8	0.7391	3.3511	3.2494	3.1576	1.4631	0.71435	0.47578	5.4443	5.8168	7.765	4.8488	2.49	0.67663	0.31392	0.68393	0.34433	-0.010436	-0.35015	-0.30942	1.2467	1.6613	11	65154041	65180996
SLC25A45	1.1713	3.4296	3.2534	2.9869	1.4583	1.1303	0.86769	5.8842	6.1094	8.0122	4.9962	2.8537	0.94087	0.5249	0.56082	0.58813	0.41251	-0.54779	0.32052	1.3907	1.5355	11	65142663	65151172
LOC101927789	0.90022	3.045	3.3771	3.4012	3.0022	1.4258	1.2541	7.5999	7.6163	7.2609	4.3119	3.614	2.0691	1.7624	0.82488	0.074271	0.86808	0.48971	-0.58364	2.068	1.0383	11	65222309	65234144
SCYL1	-0.90348	3.207	3.509	3.5835	2.5433	0.91491	1.5258	6.1094	6.1094	4.9837	5.4231	3.3226	2.5339	2.0675	0.71151	0.89169	1.7679	-0.19969	-1.188	0.30259	0.89983	11	65292537	65306182
LTBP3	-0.5275	3.8411	3.5964	4.3345	3.0503	1.9731	1.0531	6.1094	6.1094	8.1802	6.2621	3.4503	2.7863	2.2292	0.69923	0.6786	1.4392	-0.38014	-1.335	0.50248	0.3981	11	65306030	65325858
SSSCA1	-0.25509	3.8321	3.4488	4.1548	2.663	1.669	0.9964	7.5782	7.9134	7.1639	6.0599	3.4645	2.4904	2.2966	0.83287	0.60923	1.6723	-0.47002	-1.5398	0.51505	0.60376	11	65336651	65340075
FAM89B	-0.22851	3.8687	3.4564	4.2195	2.74	1.8707	1.0014	6.1094	7.5379	7.2129	6.0903	3.5075	2.6271	2.3229	0.81041	0.7957	1.6513	-0.71151	-1.8805	0.72502	0.5197	11	65339820	65341669
EHBP1L1	-0.14731	3.5887	3.4433	4.3664	3.0667	2.4013	1.1634	6.1094	7.2026	7.0256	5.5537	3.4684	2.938	1.8714	0.56589	0.55248	1.2394	-0.34506	-1.4748	0.96002	0.17831	11	65343509	65360121
PCNXL3	0.84764	2.827	3.1956	3.9567	3.2417	2.8688	1.3861	7.4835	7.8615	8.1249	3.9984	2.6459	3.3376	0.77923	0.076333	-0.18932	0.95265	-0.89511	-0.77788	2.1222	-0.38765	11	65383686	65404910
KCNK7	0.48187	2.8061	2.9963	3.8824	2.9657	2.6821	1.4339	7.8829	6.1094	7.2085	3.8201	2.6247	3.1483	0.73272	0.0049785	-0.26067	0.6492	-0.60233	-0.93438	1.8152	-0.02794	11	65360326	65363467
MAP3K11	1.0163	2.8189	3.2612	4.026	3.2645	2.947	1.4658	7.045	6.1094	7.7112	3.6512	2.656	3.3153	0.70117	0.1221	-0.11047	1.1395	-0.91499	-0.90479	2.1885	-0.25193	11	65365226	65381720
SIPA1	1.6823	2.2786	3.4037	3.4851	3.6125	3.129	1.2757	7.8165	7.208	7.8022	3.6322	2.1614	3.5826	0.82312	-0.064819	-0.023051	1.2752	-1.5568	-0.56601	2.5821	-0.72009	11	65405578	65418391
RELA	1.2309	1.8886	3.2175	2.81	3.3969	2.165	0.50952	7.6161	7.9668	7.1011	2.3509	1.7774	3.9777	0.39193	0.60458	0.15321	1.1508	-0.89509	-1.5622	1.5194	-1.0908	11	65421067	65430443
KAT5	1.2487	2.129	3.4169	3.0319	3.5495	2.4073	0.66266	7.6549	6.8798	7.4301	3.016	1.4732	3.7621	0.21678	0.69718	-0.17331	2.0455	-0.66863	-1.0709	1.7123	-0.90381	11	65479473	65487077
RNASEH2C	0.93494	1.95	3.0556	2.4686	3.0132	1.909	0.72489	7.4812	7.8156	7.9098	4.1756	0.32365	2.8379	0.13688	0.11974	-1.058	2.5593	-0.48309	-1.0352	1.8473	-0.080761	11	65485144	65488409
OVOL1	1.5368	3.5282	4.6035	3.9196	4.7072	3.5494	0.78485	6.1094	6.1094	7.6224	5.1793	0.31785	3.0869	0.21181	-0.7171	-1.3875	1.4266	-0.362	-1.9599	2.0861	0.7064	11	65554505	65564690
AP5B1	1.4787	3.4252	4.6231	3.859	4.6685	3.5068	0.53146	7.1837	7.3458	6.1094	5.1451	0.0018732	3.152	-0.019852	-0.65888	-1.5033	2.594	0.058311	-2.1837	1.7888	0.60764	11	65541369	65548062
SNX32	1.3284	1.8914	3.1671	2.7542	3.822	3.1137	0.3853	6.3795	4.4497	7.4891	2.6397	-0.097419	1.4945	-0.48625	-0.83497	-0.82737	3.7139	0.52398	-0.90195	0.27965	-0.51831	11	65601305	65621578
LOC101927853	1.298	2.0457	3.0177	2.7026	3.7262	3.2601	0.18361	5.8289	3.8398	7.4433	1.9045	-0.1776	0.89576	-0.59875	-0.95554	-0.63315	3.8691	0.33485	-0.53461	-0.025454	-0.89717	11	65590493	65600968
MUS81	1.3839	1.8778	2.6178	2.5087	3.4346	3.0106	-0.28676	6.335	3.8654	7.6781	2.0949	0.19233	1.1715	-0.55932	-1.1564	-0.30124	3.6162	0.12336	0.13004	0.012917	-1.6282	11	65627872	65633914
CFL1	1.1955	1.8492	1.6605	1.4024	1.6258	1.8692	-0.41031	6.2961	3.3514	6.1094	2.2201	-0.22583	0.61899	-0.84974	-0.8851	-0.65438	3.084	-0.92324	0.73656	-0.90926	-0.8476	11	65622282	65625804
CTSW	1.1955	1.8492	1.6605	1.4024	1.6258	1.8692	-0.42373	6.2961	3.3556	6.1094	2.2201	-0.22583	0.61899	-0.84974	-0.8851	-0.65438	3.084	-0.92324	0.73656	-0.90926	-0.8476	11	65647284	65651212
CCDC85B	1.052	1.6749	1.7295	1.4286	1.8351	1.8806	0.26625	6.1094	3.2979	8.0613	2.1305	-0.046301	0.87494	-0.44438	-1.1283	-0.56554	2.9178	-0.58513	0.20884	-2.4757	-0.65429	11	65657875	65659106
EFEMP2	1.2248	1.8255	1.8645	1.4875	1.8405	1.9645	0.99722	6.1094	3.6106	7.9383	2.0881	0.034679	1.18	0.34314	-1.2358	-0.75056	2.8882	-0.40506	0.11517	-2.357	-0.7223	11	65633912	65640405
FIBP	1.4578	1.3185	1.9175	1.2926	1.4757	1.5553	1.8567	5.6646	4.5209	8.2386	2.3306	0.077897	1.6819	1.2841	-1.1172	-0.39731	1.9046	0.26009	0.027903	-1.5613	-0.45294	11	65651211	65656010
FOSL1	1.4216	0.59484	1.681	1.2497	1.0437	1.0878	1.9004	5.4791	4.8544	6.1094	4.781	-0.1232	1.9438	1.9222	-0.92742	-0.05504	2.1787	0.11286	0.16202	-1.9859	-0.41856	11	65659616	65667997
DRAP1	1.4803	0.64503	1.4044	1.3004	0.96711	1.163	1.912	5.1898	4.6571	6.1094	4.1763	0.042888	1.9633	2.0138	-1.0414	0.059627	2.0005	0.38651	0.1745	-1.6079	-0.3349	11	65686728	65689048
C11orf68	1.0647	-1.4334	1.0525	1.0757	0.23344	0.46837	1.6994	5.3283	4.6094	7.2598	6.2607	-0.21407	2.0211	2.3199	-0.59075	0.77333	2.1095	-0.23296	0.79547	-0.88032	-0.66087	11	65684281	65686531
TSGA10IP	0.8947	-1.8923	1.1871	1.0221	0.30465	0.25319	1.552	5.7814	4.3552	6.1094	6.6983	-0.51151	1.7326	2.2759	-0.43053	0.94245	2.2367	-0.72381	1.0687	-0.91663	-0.82961	11	65713115	65727434
SART1	0.65557	-0.50169	1.6903	1.0556	0.76108	0.3272	1.299	6.4919	4.4417	6.1094	6.8974	-0.75367	1.2965	2.0384	-0.46475	0.94253	2.3597	-1.5747	1.0969	-0.46447	-0.88277	11	65729160	65747607
BANF1	0.44016	-0.34652	1.6617	0.94438	0.85152	0.18236	1.5889	6.2262	4.2062	7.8542	6.7312	-1.0919	1.1211	1.9444	-0.73319	0.8639	2.313	-1.3971	1.2302	0.39436	-1.5152	11	65769550	65771617
CST6	0.25501	-0.52723	1.6422	0.8825	0.78222	-0.012194	1.6343	6.2623	4.1975	7.8193	6.2469	-0.78833	1.0636	1.7832	-1.0162	0.57744	2.1355	-1.0864	1.2546	0.36941	-1.2572	11	65779462	65780976
EIF1AD	-0.16038	-0.80199	1.7279	0.59887	0.7605	-0.43516	1.5216	6.0523	4.5019	8.5129	5.4611	-0.36094	0.89553	1.5618	-1.4815	0.37965	1.8787	-0.33652	1.1638	0.057282	-0.19612	11	65764016	65769637
CATSPER1	-1.0935	-0.98489	1.7797	-0.086825	0.7143	-0.86001	0.57867	4.6498	4.1259	7.8385	3.3967	0.66834	-0.087716	0.32512	-1.1339	-0.52288	0.65932	0.65078	0.77732	-0.71712	0.50809	11	65784223	65793988
SF3B2	-1.128	-1.2742	1.3694	-0.9207	0.098496	-1.7691	0.38327	4.1704	3.8297	7.0285	2.3451	1.0226	0.1523	0.26911	-0.41832	-0.519	-0.3041	0.81989	0.18489	-1.6576	0.91639	11	65819264	65836382
GAL3ST3	-1.1333	-1.1902	1.2121	-0.93426	0.0035178	-1.8496	0.6409	3.8485	3.7357	7.8773	2.341	1.0296	0.42341	0.46609	-0.13688	-0.90907	-0.12197	0.7652	0.32859	-0.99361	0.97531	11	65808236	65816651
PACS1	-1.1411	-0.7826	0.26915	0.22312	0.19191	-0.79364	0.70049	3.2698	4.4964	6.5323	2.4882	0.32445	1.2398	0.6572	0.4821	-1.2519	0.19942	0.32838	0.57849	-0.77057	0.58185	11	65837747	66012218
KLC2	-0.61013	-0.039392	0.37885	0.98092	0.81584	-0.34393	0.39808	3.405	4.5428	6.2822	3.5943	-1.1816	0.85912	-0.45325	-0.56137	-0.49578	0.74724	-0.10665	0.59744	0.50806	0.4854	11	66024765	66035332
RAB1B	-0.80203	-0.058594	0.22077	0.73301	0.32793	-0.36595	0.27359	3.0385	4.2703	6.4733	3.6702	-1.0094	0.7917	-0.47658	-0.28967	-0.62055	0.56718	0.020894	0.49346	0.50423	0.45156	11	66036056	66044963
CNIH2	-0.85967	-0.036438	0.34733	0.68662	0.31681	-0.53437	0.41711	3.6727	4.4108	6.9417	2.8019	-1.1126	0.67489	-0.92102	-0.26181	-0.59955	0.65168	-0.10863	0.36941	0.32387	0.60371	11	66045672	66051685
TMEM151A	-0.20065	0.66057	0.45863	0.64297	0.49866	-0.6577	-0.19717	3.821	4.1323	7.8096	2.9831	-0.81229	0.8712	-1.2015	-0.00714	-0.92243	0.92045	-0.33246	0.4914	0.45807	0.60923	11	66059373	66064135
YIF1A	0.55142	1.2169	0.57303	0.79253	0.91119	-0.21714	0.14142	3.3136	3.327	7.7364	2.6997	0.7543	1.7334	-0.58098	0.17736	0.076909	0.46671	-0.46322	0.31857	0.75925	-0.17326	11	66052051	66056638
CD248	0.64236	0.79077	0.43313	0.89155	1.6186	0.11645	1.1758	1.9321	1.9693	6.6638	2.8632	1.2415	1.5921	0.63302	0.37568	0.05516	1.2893	-0.9961	-0.14147	1.1695	-0.19839	11	66081958	66084515
RIN1	0.46337	0.85057	0.69626	0.98252	1.9749	0.47891	1.4365	1.5009	1.7137	6.1217	2.7194	1.0798	1.0077	0.88729	0.39977	-0.27719	1.5904	-1.3123	-0.48872	1.2442	0.15067	11	66099535	66104000
BRMS1	0.23344	1.0121	0.71771	0.85988	2.1143	0.54112	1.5478	1.3901	1.6901	5.5655	2.6438	1.0074	0.59305	0.92435	0.5772	-0.57085	1.5881	-1.8988	-0.46378	1.1397	0.15478	11	66104804	66112596
B4GAT1	0.41576	1.1195	0.71659	1.0656	2.2137	0.7461	1.6376	1.1525	1.8597	5.6359	2.5854	0.91303	0.25374	0.90381	0.50972	-0.23342	1.5802	-1.3823	-0.17729	1.2145	0.2617	11	66112843	66115161
SLC29A2	0.42557	1.368	0.90813	1.2963	2.4059	0.94957	1.6135	0.54731	1.9356	3.9534	2.4483	1.0004	0.17899	1.0236	0.61364	-0.12491	1.7754	-0.95219	0.10507	1.248	0.43634	11	66129992	66139961
NPAS4	0.43836	0.72177	0.28894	1.3351	1.963	0.7631	1.4937	1.5898	2.5634	7.8734	3.1166	1.0848	-0.1309	0.75463	0.38063	0.15955	2.0003	-0.19481	-0.61689	1.4045	0.11854	11	66188475	66194177
MRPL11	-0.92891	-0.49852	-0.28163	-0.036437	0.2853	0.1931	-0.14009	3.5486	2.874	6.1094	3.0596	0.034033	-1.0106	-0.32915	0.28583	1.4236	0.98032	-0.34912	-0.76325	0.72336	0.36671	11	66202550	66206310
PELI3	-0.62166	-0.32105	-0.12045	0.10767	0.44607	0.3128	0.0058951	3.4778	2.5198	7.84	2.8106	-0.070586	-1.3212	-0.0078517	-0.0041364	1.5015	0.88707	-0.54448	-0.96462	0.72827	0.35205	11	66233798	66244808
DPP3	-0.039478	-0.22336	-0.3336	0.082541	0.23718	0.13018	-0.54222	3.4148	2.3782	7.881	2.7028	-0.31294	-1.0753	-0.51023	-0.15432	1.4819	0.74799	-0.40129	-0.18815	0.90642	0.1957	11	66247484	66277130
BBS1	0.19305	-0.11233	-0.3175	0.026873	0.18689	0.21177	-0.87848	3.3588	2.4948	8.6587	2.6124	-0.38457	-0.76205	-0.52346	-0.48046	1.5816	0.60542	-0.38901	-0.13498	0.86275	-0.077122	11	66278077	66301084
ZDHHC24	-0.03864	0.039947	-0.71859	-0.46767	0.35181	0.32897	-0.8368	3.2852	3.8801	6.1094	3.1337	-0.19038	-0.78592	-0.60655	-1.0656	1.8468	0.75784	0.096851	-0.1846	-0.083286	-0.74031	11	66288854	66313709
ACTN3	-0.011222	0.026296	-0.64905	-0.55259	0.38259	0.19934	-0.69203	3.3239	3.6219	6.3495	3.1026	-0.32603	-0.64685	-0.62336	-0.90454	1.6767	0.77953	-0.10226	-0.13935	-0.014818	-0.52007	11	66314312	66330799
CTSF	0.0042511	0.2911	-0.75181	-0.49124	0.28105	0.61879	-0.87111	2.9141	4.8018	6.1094	3.1657	0.30984	-1.263	-0.046817	-1.2315	1.6655	0.40148	0.67431	-0.44486	-0.55319	-0.89758	11	66330935	66336047
CCS	0.031087	0.39449	-0.8996	-0.4042	0.027652	0.94703	-0.89721	2.9918	5.1555	6.1094	3.2157	0.70734	-1.5391	0.41649	-1.3714	1.7944	0.18673	0.66895	-0.45036	-0.45552	-0.78977	11	66360630	66373490
CCDC87	0.005277	0.65303	-1.0731	0.014831	-0.16661	1.0355	-0.5518	2.4109	6.1469	8.3025	3.4905	1.4492	-1.3988	1.4989	-1.7224	1.7482	0.28065	0.36388	-0.30414	-0.12231	-0.55938	11	66357640	66360554
RBM14	0.17693	0.5334	-1.2006	-0.16247	-0.20518	0.97303	-0.10059	2.6518	5.7685	6.7062	3.371	1.2319	-1.3683	1.3751	-1.7485	1.4056	-0.60416	0.5637	-0.51044	-0.50827	-0.44402	11	66384053	66397405
RBM14-RBM4	0.14291	0.45025	-1.2282	-0.125	-0.48648	0.93861	-0.040524	2.5885	5.8168	6.1094	3.272	1.0907	-0.95229	1.0792	-1.8543	1.5	-0.9207	0.7302	-0.58163	-0.54643	-0.48422	11	66384053	66413944
RBM4	0.10165	0.39734	-1.0123	-0.081048	-0.022977	1.0391	0.19732	2.8462	5.8842	7.1119	3.3775	1.212	-1.1053	0.63014	-0.99616	1.639	-1.0179	0.65679	-0.12343	-0.11194	-0.20401	11	66406088	66435856
RBM4B	0.30243	0.47278	-0.32972	-0.18673	0.29101	0.86198	-1.1415	2.5243	6.0638	8.0102	3.1435	0.70007	-1.9189	0.51534	0.44084	1.8852	-0.1771	0.05688	0.089545	0.55417	0.36295	11	66432469	66445348
SPTBN2	-0.022902	0.14953	-0.44613	-0.10107	0.17534	0.82376	-1.2528	2.3515	7.1646	6.1094	3.1053	-0.3961	-1.6229	0.34895	-0.25213	1.5243	0.34598	0.25416	-0.30961	0.77347	-0.17026	11	66449967	66496716
C11orf80	-0.4681	-0.1881	-0.66704	-0.2816	-0.32066	0.79511	-0.083815	1.0261	7.2198	7.8742	2.7093	-1.3145	-0.37521	-0.92167	-1.244	1.2805	0.64731	-0.21416	0.036547	0.40766	-1.2508	11	66512207	66613997
RCE1	-0.64226	-0.7492	-0.53328	-0.52499	-0.40969	0.12588	0.245	0.9351	5.5804	7.8967	3.2144	-1.9657	-0.16499	-0.66097	-1.2531	0.73185	1.2815	-0.71552	-0.037945	0.12241	-0.60514	11	66610883	66614003
LRFN4	-0.80048	-0.29026	-0.34019	-0.36902	-0.26196	-0.10068	0.56274	0.59647	5.7685	7.8634	3.1247	-1.9354	-0.33163	-1.5048	-1.1403	0.098122	1.5897	-0.16084	-0.046054	0.50076	-0.54289	11	66624558	66627946
PC	-1.4079	-0.26802	-0.59321	-1.321	0.07239	-0.57553	0.06584	2.0304	5.1372	8.0688	5.9606	-0.96633	-0.26749	-0.076567	-1.4871	-0.085805	1.6078	0.37266	-0.18518	0.017587	-0.29797	11	66615993	66725847
C11orf86	-0.53294	0.48532	0.60333	-0.77225	0.37049	-0.27027	-0.3667	2.5784	5.612	6.1094	7.2514	-0.068399	-0.31403	0.77706	-0.73695	0.97942	0.53958	0.62053	0.36619	0.67098	-0.80912	11	66742754	66744479
SYT12	0.45989	0.74704	0.47525	-0.24513	-0.69537	-0.80003	0.54706	1.6313	5.8019	8.2396	6.298	-0.025755	-0.48794	0.035957	-1.2	0.4808	0.34141	0.60053	0.29505	-0.92604	-0.97434	11	66790190	66818334
RHOD	0.8513	-0.50486	0.4264	0.17935	-0.86335	0.60165	1.9307	0.60144	5.7041	7.6991	7.6972	-0.53639	-1.2327	-0.36703	-1.0892	1.3429	-0.093263	1.016	-0.19563	-0.34475	0.21012	11	66824289	66839488
KDM2A	2.6444	-0.15659	-0.40181	-0.56303	-0.56614	0.55851	1.5805	0.50978	2.4298	6.6972	3.0921	1.5551	-0.3384	0.49691	-0.10291	3.0789	1.4747	0.20683	0.25814	0.46681	-0.4924	11	66886740	67025553
ADRBK1	2.7682	-0.30735	0.082073	-0.10346	-0.32143	0.48104	1.5444	1.037	1.358	7.8481	3.2161	1.208	-0.84813	-0.029627	-0.31873	3.2192	1.4847	0.79986	0.65725	0.3762	-0.76769	11	67033905	67054029
ANKRD13D	2.7814	-0.57016	-0.076118	-0.77117	-0.84703	0.3083	1.4756	1.3075	1.193	7.9886	3.1913	1.7237	-0.019128	-0.88946	-0.4919	3.1159	1.5361	0.43495	0.011297	0.32487	-0.62021	11	67056762	67069955
SSH3	2.49	-0.79672	0.065862	-0.42265	-0.5682	-0.1468	1.6434	1.1083	1.9019	5.5168	3.1491	2.1481	0.34277	-0.78103	-0.49092	2.7454	1.4418	0.50426	0.28074	-0.060271	-0.80028	11	67070919	67080078
POLD4	2.9121	-0.25967	0.85607	0.31831	-1.1928	-0.1754	1.999	-0.8461	1.8077	5.0081	2.8339	2.3525	0.49414	-0.91707	0.13246	2.2417	1.2842	0.89976	1.5537	-0.19722	0.0058623	11	67118236	67121067
CLCF1	3.2256	0.54992	1.1271	0.16029	-1.1054	0.077002	2.152	-0.029692	1.7174	5.7013	2.8166	2.3935	0.74248	-1.5448	0.42257	2.2986	1.638	0.85197	1.8915	-0.025488	-0.78269	11	67131635	67141648
RAD9A	3.2912	0.69949	1.2301	0.11479	-0.91344	-0.061945	2.1448	-0.028864	1.7236	5.731	2.84	2.3692	0.74013	-1.409	0.3659	2.3092	1.6669	0.82684	1.8389	0.039551	-0.65522	11	67159423	67165883
TBC1D10C	3.0316	0.45927	0.71214	-0.09531	-1.2082	-0.23686	2.1402	0.13806	1.8903	5.9448	2.9894	2.1589	0.8741	-1.6124	0.37863	2.4851	1.8185	0.67739	1.792	0.23461	-0.87888	11	67171384	67177561
CARNS1	2.8202	0.86314	1.2646	0.50361	-0.90024	-0.24902	2.0512	0.53317	1.9104	7.7247	3.0657	2.141	0.93964	-2.4879	0.86188	2.4404	1.9543	0.8839	1.8122	0.37169	-1.179	11	67183149	67193078
PPP1CA	2.6245	0.95746	1.3255	0.62531	-0.85795	-0.35631	1.9971	0.87816	1.8283	7.8946	3.243	2.1015	0.9611	-2.244	0.9739	2.3997	2.0119	0.94614	1.6963	0.4197	-1.3495	11	67165652	67169376
RPS6KB2	2.1965	1.1095	1.5506	1.0509	-0.67664	-0.53887	1.7841	0.66496	1.8647	7.7645	3.3531	1.9618	0.84608	-1.8937	1.2895	2.3288	1.9758	1.0655	1.4418	0.42239	-1.0483	11	67195935	67202879
CABP4	1.9155	1.474	1.8278	1.5575	0.21613	-0.83047	0.8279	1.1377	1.5469	7.8396	3.2635	1.3847	-0.21302	-1.5222	1.4668	1.8293	0.87597	0.98955	-0.39623	-0.24245	-0.60924	11	67219886	67229245
PTPRCAP	0.96998	1.5907	1.8229	1.7135	0.49533	-1.536	0.34477	1.1559	1.495	6.9975	2.95	0.9216	-0.74796	-0.92447	1.518	1.7036	0.61067	0.94154	-1.0182	-0.40308	-0.54218	11	67202981	67205153
CORO1B	1.1044	1.5428	1.5261	1.5647	0.31739	-1.3142	0.32809	1.1753	1.5	7.0124	3.0731	0.95963	-0.65401	-0.87842	1.458	1.6498	0.51126	0.87438	-0.77115	-0.39536	-0.53886	11	67205518	67211371
GPR152	1.4632	1.2426	1.0891	1.5191	0.34204	-1.1221	0.46278	1.1047	1.212	6.9971	3.2727	1.2735	-0.83973	-1.3911	1.2148	1.4972	0.032475	0.68555	-0.60422	-0.58788	-0.35845	11	67218772	67220200
AIP	1.3029	1.2417	1.1358	1.5963	0.30677	-1.2769	0.56245	0.89277	1.3158	7.0064	3.4649	1.3559	-0.56116	-0.92808	1.1595	1.4895	-0.057109	0.77411	-0.53714	-0.861	-0.54558	11	67250505	67258579
TMEM134	1.2965	1.2292	1.1082	1.517	0.32406	-1.4003	0.59873	1.0273	1.3627	7.8259	3.4464	1.1225	-0.39708	-0.9259	1.1827	1.5462	-0.15808	0.92865	-0.45168	-1.0522	-0.74537	11	67231819	67236748
PITPNM1	1.3652	0.96341	1.7937	2.0922	1.3678	-1.4633	0.28148	2.2587	2.6911	7.7438	2.9185	0.21146	-0.32401	-0.31666	1.7522	1.9292	-0.57571	0.11888	-1.0009	0.49195	-1.3643	11	67259231	67272843
CDK2AP2	1.5826	0.71964	1.633	1.9797	1.4246	-1.2424	0.12673	2.4137	3.0372	7.5204	2.896	-0.17559	-0.098641	0.11195	1.8513	1.8499	-0.1584	-0.25281	-0.73114	0.95087	-1.7117	11	67273961	67276199
CABP2	1.5431	0.93043	1.2877	2.0179	1.1786	-0.99944	0.40543	1.8397	2.092	7.5877	1.9455	0.11128	0.040592	0.064795	1.777	1.4698	-0.035636	-0.47757	-0.82011	0.81652	-1.5761	11	67286418	67291085
GSTP1	1.4051	1.6577	1.3549	2.9279	2.188	0.15783	1.0092	0.7972	1.2387	7.8699	3.4083	0.29613	0.12465	0.0033871	1.5928	1.6321	0.52343	-0.029867	-1.2169	0.28274	-0.97035	11	67351066	67354125
NDUFV1	2.4899	2.341	1.8225	3.3559	3.0193	0.85626	0.3011	1.2662	1.367	6.1094	3.4443	-0.3169	-0.50108	0.060832	2.0211	1.8798	0.32944	-0.33393	-0.54752	0.05445	-0.71843	11	67374323	67380012
NUDT8	2.901	1.9363	1.1788	2.1777	2.5432	0.7942	-0.69946	1.5466	1.4867	7.8292	3.7351	0.81731	-0.29257	0.33243	2.2567	1.2888	0.61234	-0.48947	-0.053126	-0.029278	-0.33536	11	67395409	67397408
TBX10	2.2024	1.5282	0.92253	1.5744	1.9712	0.51254	-0.799	1.3125	1.3651	7.8278	3.6051	1.2523	0.74357	0.57591	1.9233	0.95857	0.9324	-0.52291	-0.13095	-0.47256	0.18924	11	67398774	67407031
ACY3	0.89736	0.96588	0.56453	0.85843	1.434	0.097607	-0.6915	1.0378	1.4176	7.5766	3.0525	1.7714	1.1496	0.8714	1.052	-0.011509	1.0964	-0.35209	-0.43469	-0.35783	0.47252	11	67410026	67418130
ALDH3B2	0.74451	0.6584	0.86447	-0.90241	0.012618	-0.81482	0.13501	0.80294	2.1329	7.8175	3.7352	2.5555	2.1758	1.9987	0.0028571	-1.1249	0.82691	-1.0239	0.042577	0.18639	0.68348	11	67429633	67448685
ALDH3B1	1.6773	0.054542	-0.75567	-0.59771	-0.12839	-0.44123	1.5814	0.27554	4.9499	2.0915	2.3754	2.2945	0.62208	0.39698	-0.89124	-1.5841	1.6798	0.10009	0.57287	-0.32263	-0.15923	11	67776048	67796743
UNC93B1	1.6599	0.074865	-0.83462	-0.57698	-0.09562	-0.42179	1.4133	0.34832	4.8971	2.1148	2.509	2.2782	0.69808	0.33601	-0.73025	-1.4716	1.8067	0.069238	0.54912	-0.63714	-0.11961	11	67758575	67771593
NDUFS8	1.9399	0.27653	-0.29387	-0.51117	0.14353	-0.42479	1.3369	0.44555	4.8023	3.4811	2.0345	2.2807	0.80743	0.42444	-1.1378	-1.1833	1.9988	0.18845	0.72079	-0.59429	0.19066	11	67798084	67804114
TCIRG1	2.0677	0.31558	-0.16573	-0.38916	0.16422	-0.24327	1.366	0.44861	5.631	3.8281	1.6913	1.9596	0.79415	0.32357	-0.72181	-0.59908	2.166	0.26593	1.1373	-0.78778	0.25397	11	67806462	67818366
CHKA	1.3573	-0.53857	0.2512	-0.078913	0.81236	-0.43433	1.4795	1.1965	4.5487	3.9823	1.7475	0.69507	0.53296	1.0308	0.017213	0.47759	0.68189	-0.90841	1.7477	-0.19234	-0.12433	11	67820326	67888858
SUV420H1	-0.040432	-0.37358	0.44486	0.53881	1.9591	0.41026	1.706	0.15982	3.9891	5.4316	2.9906	1.9572	1.2154	-0.21139	-0.39684	-0.032299	0.11667	0.025868	1.9334	-0.82419	-0.46855	11	67922330	67981250
C11orf24	1.6387	0.1342	2.19	3.3786	1.4287	1.8862	1.6005	1.4906	5.8842	7.8419	4.811	1.5626	1.6498	0.12274	1.762	0.94531	-0.39116	-1.0499	-0.031265	0.26522	1.8136	11	68028803	68039469
LRP5	7.8714	4.4043	4.6099	6.8969	3.6487	7.8521	5.2043	1.1282	9.4471	7.6764	7.165	4.2492	6.2352	1.5904	2.0069	0.7791	1.2095	-1.9391	1.2526	1.8006	0.8259	11	68080077	68216743
